Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
Luke_Raley,SEA,75,42,93.5,109.4,113.8,14.5,9,21.40%,22,52.40%,0.304,0.327,0.609,0.659,0.421,0.441
Dominic_Canzone,SEA,57,42,94.8,107.9,114.1,26,7,16.70%,20,47.60%,0.275,0.312,0.569,0.596,0.389,0.41
JP_Crawford,SEA,65,38,88.9,105.2,107.8,17.8,5,13.20%,15,39.50%,0.196,0.245,0.314,0.455,0.329,0.387
Randy_Arozarena,SEA,101,66,90.2,105.7,113,3.4,6,9.10%,25,37.90%,0.279,0.279,0.407,0.418,0.364,0.361
Brendan_Donovan,SEA,71,45,83.8,99.6,103.9,13,2,4.40%,12,26.70%,0.304,0.238,0.518,0.344,0.426,0.339
Cole_Young,SEA,94,60,85.8,101.7,111.3,18.7,4,6.70%,20,33.30%,0.244,0.249,0.366,0.377,0.325,0.326
Julio_Rodriguez,SEA,103,64,88.6,106.9,111.3,7.2,4,6.30%,25,39.10%,0.222,0.234,0.289,0.357,0.285,0.309
Cal_Raleigh,SEA,105,62,84.8,105.5,107.8,22.8,6,9.70%,18,29.00%,0.161,0.196,0.29,0.405,0.249,0.3
Josh_Naylor,SEA,95,70,86.8,100.5,111.5,13,4,5.70%,24,34.30%,0.174,0.232,0.267,0.363,0.239,0.294
Leo_Rivas,SEA,65,32,86,94.4,100,16.4,0,0.00%,3,9.40%,0.151,0.141,0.208,0.181,0.249,0.233
